 Height,Alarm Call Type,Site,Order
69,B,tdxy,3
33,B,tdxy,4
31,B,tdxy,5
31,B,tdxy,5
11,B,tdxy,6
11,B,tdxy,6
11,B,tdxy,6
11,B,tdxy,6
11,B,tdxy,6
11,B,tdxy,6
11,B,tdxy,6
11,B,tdxy,6
70,B,tdxy,7
33,B,tdxy,8
33,B,tdxy,8
100,B,yhgy,1
100,B,yhgy,1
100,B,yhgy,1
100,B,yhgy,1
100,B,yhgy,1
100,B,yhgy,1
70,B,yhgy,2
70,B,yhgy,2
43,B,yhgy,3
43,B,yhgy,3
43,B,yhgy,3
43,B,yhgy,3
43,B,yhgy,3
43,B,yhgy,3
43,B,yhgy,3
32,B,yhgy,4
32,B,yhgy,4
32,B,yhgy,6
32,B,yhgy,6
32,B,yhgy,6
22,B,yhgy,7
5,B,yhgy,8
5,B,yhgy,8
5,B,yhgy,8
5,B,yhgy,8
5,B,yhgy,8
86,B,txg,1
82,B,txg,2
46,B,txg,3
35,B,txg,4
35,B,txg,4
35,B,txg,4
35,B,txg,4
35,B,txg,4
35,B,txg,4
35,B,txg,4
35,B,txg,4
35,B,txg,4
35,B,txg,4
35,B,txg,4
35,B,txg,4
34,B,txg,5
34,B,txg,5
34,B,txg,5
34,B,txg,5
34,B,txg,5
34,B,txg,5
26,B,lgd,1
82,B,lgd,1
82,B,lgd,1
86,B,lgd,2
86,B,lgd,2
74,B,lgd,3
74,B,lgd,3
74,B,lgd,3
74,B,lgd,3
74,B,lgd,3
49,B,lgd,4
27,B,lgd,5
27,B,lgd,5
27,B,lgd,5
27,B,lgd,5
15,B,lgd,6
15,B,lgd,6
15,B,lgd,6
15,B,lgd,6
15,B,lgd,6
15,B,lgd,6
15,B,lgd,6
11,B,lgd,7
11,B,lgd,7
101,B,lgd,1
101,B,lgd,1
101,B,lgd,1
101,B,lgd,1
84,B,lgd,2
84,B,lgd,2
84,B,lgd,2
84,B,lgd,2
19,B,lgd,3
19,B,lgd,3
19,B,lgd,3
19,B,lgd,3
60,B,tdxy,1
60,B,tdxy,1
60,B,tdxy,1
48,B,tdxy,2
42,B,tdxy,3
34,B,tdxy,4
34,B,tdxy,4
34,B,tdxy,4
34,B,tdxy,4
34,B,tdxy,4
34,B,tdxy,4
34,B,tdxy,4
34,B,tdxy,4
34,B,tdxy,4
34,B,tdxy,4
34,B,tdxy,4
37,B,tdxy,5
37,B,tdxy,5
33,B,tdxy,6
44,B,txg,1
44,B,txg,1
44,B,txg,1
27,B,txg,2
27,B,txg,2
27,B,txg,2
27,B,txg,2
27,B,txg,2
27,B,txg,2
27,B,txg,2
27,B,txg,2
27,B,txg,2
27,B,txg,2
27,B,txg,2
21,B,txg,3
21,B,txg,3
53,B,lyj,2
53,B,lyj,2
34,B,lyj,3
34,B,lyj,3
34,B,lyj,3
34,B,lyj,3
34,B,lyj,3
34,B,lyj,3
34,B,lyj,3
34,B,lyj,3
34,B,lyj,3
34,B,lyj,3
34,B,lyj,3
34,B,lyj,3
38,B,lyj,4
38,B,lyj,4
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
28,B,lyj,5
68,B,lgd,2
68,B,lgd,2
68,B,lgd,2
68,B,lgd,2
55,B,lgd,3
8,B,lgd,4
8,B,lgd,4
8,B,lgd,4
44,B,lyj,1
44,B,lyj,1
44,B,lyj,1
44,B,lyj,1
44,B,lyj,1
44,B,lyj,1
44,B,lyj,1
78,B,lyj,2
78,B,lyj,2
78,B,lyj,2
78,B,lyj,2
76,B,lyj,3
76,B,lyj,3
76,B,lyj,3
60,B,lyj,4
60,B,lyj,4
60,B,lyj,4
46,B,lyj,5
46,B,lyj,5
46,B,lyj,5
34,B,lyj,6
34,B,lyj,6
34,B,lyj,6
34,B,lyj,6
34,B,lyj,6
34,B,lyj,6
34,B,lyj,6
34,B,lyj,6
34,B,lyj,6
34,B,lyj,6
26,B,lyj,7
26,B,lyj,7
26,B,lyj,7
26,B,lyj,7
26,B,lyj,7
26,B,lyj,7
26,B,lyj,7
26,B,lyj,7
47,B,tdxy,1
47,B,tdxy,1
47,B,tdxy,1
81,B,tdxy,2
55,B,tdxy,3
55,B,tdxy,3
55,B,tdxy,3
55,B,tdxy,3
55,B,tdxy,3
55,B,tdxy,3
55,B,tdxy,3
32,B,tdxy,4
32,B,tdxy,4
32,B,tdxy,4
32,B,tdxy,4
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
19,B,tdxy,6
67,B,tdxy,2
67,B,tdxy,2
48,B,tdxy,4
48,B,tdxy,4
48,B,tdxy,4
48,B,tdxy,4
48,B,tdxy,4
48,B,tdxy,4
40,B,tdxy,6
40,B,tdxy,6
40,B,tdxy,6
40,B,tdxy,6
40,B,tdxy,6
