Height,Element,Peak Freq (Hz),Length(ms),Interval of c-c (ms),Site,Order,Number of c note
19,c,4048.242,0.0913,50.7,lgd,3,18
19,c,3273.047,0.101,35.5,lgd,3,4
19,c,3703.711,0.0888,78.7,lgd,3,2
60,c,3875.977,0.0787,50.7,tdxy,1,5
60,c,4048.242,0.0939,63.4,tdxy,1,3
34,c,2583.984,0.0964,88.8,tdxy,4,7
34,c,3186.914,0.0812,66,tdxy,4,4
34,c,3273.047,0.0939,48.2,tdxy,4,5
34,c,3962.109,0.0964,40.6,tdxy,4,3
34,c,4392.773,0.0787,55.8,tdxy,4,8
33,c,4134.375,0.0812,53.3,tdxy,6,4
27,c,4048.242,0.0909,35.5,txg,2,8
27,c,4306.641,0.0939,68.5,txg,2,7
27,c,4134.375,0.0943,63.4,txg,2,4
53,c,4134.375,0.0964,83.7,lyj,2,2
53,c,3617.578,0.1015,53.3,lyj,2,4
34,c,3531.445,0.0761,66.4,lyj,3,23
34,c,3703.711,0.0987,55.8,lyj,3,14
34,c,3359.18,0.1041,50.2,lyj,3,3
34,c,3962.109,0.0933,53.8,lyj,3,11
34,c,4048.242,0.0805,57.4,lyj,3,7
34,c,3875.977,0.0933,61,lyj,3,4
38,c,3100.781,0.0902,61,lyj,4,4
28,c,3014.648,0.099,45.7,lyj,5,15
28,c,3962.109,0.104,96.4,lyj,5,2
28,c,4220.508,0.0964,58.4,lyj,5,8
28,c,3962.109,0.1051,55.8,lyj,5,6
28,c,3014.648,0.0939,33,lyj,5,3
28,c,3100.781,0.0787,63.4,lyj,5,5
28,c,3962.109,0.071,68.5,lyj,5,4
28,c,4651.172,0.0754,82.5,lyj,5,2
28,c,4134.375,0.0825,71.8,lyj,5,6
28,c,3962.109,0.0734,76.1,lyj,5,3
68,c,4134.375,0.0812,71,lgd,2,3
68,c,4220.508,0.0837,58.4,lgd,2,2
68,c,2842.383,0.0736,93.9,lgd,2,3
55,c,3014.648,0.0863,57.1,lgd,3,8
8,c,3875.977,0.0761,78.7,lgd,4,3
44,c,3445.312,0.0754,53.8,lyj,1,4
44,c,3186.914,0.0888,57.4,lyj,1,8
44,c,3617.578,0.0833,78.7,lyj,1,6
44,c,2583.984,0.0991,53.3,lyj,1,4
78,c,3875.977,0.0736,89,lyj,2,4
78,c,4048.242,0.067,77.1,lyj,2,2
78,c,4048.242,0.0837,55.8,lyj,2,10
78,c,3617.578,0.0761,76.1,lyj,2,4
76,c,4134.375,0.0678,76.1,lyj,3,6
76,c,3875.977,0.0789,71.8,lyj,3,6
76,c,3789.844,0.0863,73.6,lyj,3,3
60,c,3789.844,0.0787,71,lyj,4,9
60,c,3875.977,0.0787,63.4,lyj,4,7
60,c,3962.109,0.0812,63.4,lyj,4,5
46,c,3531.445,0.0736,76.1,lyj,5,5
46,c,3875.977,0.0787,78.7,lyj,5,4
46,c,3273.047,0.0888,66,lyj,5,5
34,c,3962.109,0.0888,55.8,lyj,6,7
34,c,2842.383,0.0812,60.9,lyj,6,11
34,c,3617.578,0.0812,60.9,lyj,6,5
34,c,2928.516,0.0962,66,lyj,6,5
26,c,3703.711,0.0837,88.8,lyj,7,2
26,c,3445.312,0.0787,58.4,lyj,7,5
47,c,4134.375,0.0634,68.5,tdxy,1,3
47,c,2670.117,0.0812,63.4,tdxy,1,3
55,c,3703.711,0.0761,58.4,tdxy,3,6
55,c,3789.844,0.0634,81.2,tdxy,3,2
55,c,3789.844,0.0677,55.8,tdxy,3,5
55,c,3445.312,0.0664,71.8,tdxy,3,3
